ADB_COUNTRY_CODE,ISO_CODE,COUNTRY_NAME,Four Regions With The Same Population,Geographic Regions,NATO Members,EU Members
AFG,AFG,Afghanistan,(2) 25%,Middle East,Non-member,Non-member
ALB,ALB,Albania,(2) 25%,Europe,NATO Member,Non-member
ALG,DZA,Algeria,(1) 25%,Africa,Non-member,Non-member
AMS,ASM,American Samoa,Unclassified,Unclassified,Non-member,Non-member
AND,AND,Andorra,(2) 25%,Europe,Non-member,Non-member
ANG,AGO,Angola,(1) 25%,Africa,Non-member,Non-member
AIA,AIA,Anguilla,(1) 25%,Latin America & Caribbean,Non-member,Non-member
ATA,ATA,Antarctica,Unclassified,Unclassified,Non-member,Non-member
ANT,ATG,Antigua,(1) 25%,Latin America & Caribbean,Non-member,Non-member
ARG,ARG,Argentina,(1) 25%,Latin America & Caribbean,Non-member,Non-member
ARM,ARM,Armenia,(2) 25%,North Asia,Non-member,Non-member
ARU,ABW,Aruba,(1) 25%,Latin America & Caribbean,Non-member,Non-member
AUS,AUS,Australia,(3) 25%,Asia Pacific,Non-member,Non-member
AUST,AUT,Austria,(2) 25%,Europe,Non-member,EU Member
AZER,AZE,Azerbaijan,(2) 25%,North Asia,Non-member,Non-member
BAH,BHS,Bahamas,(1) 25%,Latin America & Caribbean,Non-member,Non-member
BA,BHR,Bahrain,(2) 25%,Middle East,Non-member,Non-member
BANG,BGD,Bangladesh,(4) 25%,Asia Pacific,Non-member,Non-member
BARB,BRB,Barbados,(1) 25%,Latin America & Caribbean,Non-member,Non-member
BEL,BLR,Belarus,(2) 25%,Europe,Non-member,Non-member
BELG,BEL,Belgium,(2) 25%,Europe,NATO Member,EU Member
BELI,BLZ,Belize,(1) 25%,Latin America & Caribbean,Non-member,Non-member
BEN,BEN,Benin,(1) 25%,Africa,Non-member,Non-member
BER,BMU,Bermuda,(1) 25%,Latin America & Caribbean,Non-member,Non-member
BHU,BTN,Bhutan,(4) 25%,Asia Pacific,Non-member,Non-member
BOL,BOL,Bolivia,(1) 25%,Latin America & Caribbean,Non-member,Non-member
BOS,BIH,Bosnia,(2) 25%,Europe,Non-member,Non-member
BOT,BWA,Botswana,(1) 25%,Africa,Non-member,Non-member
BVT,BVT,Bouvet Island,Unclassified,Unclassified,Non-member,Non-member
BRAZ,BRA,Brazil,(1) 25%,Latin America & Caribbean,Non-member,Non-member
IOT,IOT,British Indian Ocean Territory,Unclassified,Unclassified,Non-member,Non-member
BVI,VGB,British Virgin Islands,(1) 25%,Latin America & Caribbean,Non-member,Non-member
BRU,BRN,Brunei,(3) 25%,Asia Pacific,Non-member,Non-member
BUL,BGR,Bulgaria,(2) 25%,Europe,NATO Member,EU Member
BFAS,BFA,Burkina Faso,(1) 25%,Africa,Non-member,Non-member
BURU,BDI,Burundi,(2) 25%,Africa,Non-member,Non-member
CAM,KHM,Cambodia,(3) 25%,Asia Pacific,Non-member,Non-member
CAME,CMR,Cameroon,(1) 25%,Africa,Non-member,Non-member
CAN,CAN,Canada,(1) 25%,Canada,NATO Member,Non-member
CVER,CPV,Cape Verde,Unclassified,Unclassified,Non-member,Non-member
CAY,CYM,Cayman,(1) 25%,Latin America & Caribbean,Non-member,Non-member
CAR,CAF,Central African Republic,(1) 25%,Africa,Non-member,Non-member
CHAD,TCD,Chad,(1) 25%,Africa,Non-member,Non-member
CHI,CHL,Chile,(1) 25%,Latin America & Caribbean,Non-member,Non-member
CHIN,CHN,China,(3) 25%,Asia Pacific,Non-member,Non-member
CXR,CXR,Christmas Island,Unclassified,Unclassified,Non-member,Non-member
CCK,CCK,Cocos (Keeling) Islands,Unclassified,Unclassified,Non-member,Non-member
COL,COL,Colombia,(1) 25%,Latin America & Caribbean,Non-member,Non-member
COMO,COM,Comoros,(2) 25%,Africa,Non-member,Non-member
COD,COD,Congo (Democratic Republic),(1) 25%,Africa,Non-member,Non-member
COG,COG,Congo (Republic of Congo),(1) 25%,Africa,Non-member,Non-member
COK,COK,Cook Islands,Unclassified,Unclassified,Non-member,Non-member
CR,CRI,Costa Rica,(1) 25%,Latin America & Caribbean,Non-member,Non-member
CDI,CIV,Cote d'Ivoire,(1) 25%,Africa,Non-member,Non-member
CRO,HRV,Croatia,(2) 25%,Europe,NATO Member,EU Member
CUBA,CUB,Cuba,(1) 25%,Latin America & Caribbean,Non-member,Non-member
CY,CYP,Cyprus,(2) 25%,Europe,Non-member,EU Member
CZ,CZE,Czech Republic,(2) 25%,Europe,NATO Member,EU Member
DEN,DNK,Denmark,(2) 25%,Europe,NATO Member,EU Member
DJI,DJI,Djibouti,(2) 25%,Africa,Non-member,Non-member
DMA,DMA,Dominica,Unclassified,Unclassified,Non-member,Non-member
DR,DOM,Dominican Republic,(1) 25%,Latin America & Caribbean,Non-member,Non-member
TMP,TMP,East Timor,(3) 25%,Asia Pacific,Non-member,Non-member
ECU,ECU,Ecuador,(1) 25%,Latin America & Caribbean,Non-member,Non-member
EGY,EGY,Egypt,(1) 25%,Middle East,Non-member,Non-member
SAL,SLV,El Salvador,(1) 25%,Latin America & Caribbean,Non-member,Non-member
EGUI,GNQ,Equatorial Guinea,(1) 25%,Africa,Non-member,Non-member
ERI,ERI,Eritrea,(2) 25%,Africa,Non-member,Non-member
EST,EST,Estonia,(2) 25%,Europe,NATO Member,EU Member
ETH,ETH,Ethiopia,(2) 25%,Africa,Non-member,Non-member
FALK,FLK,Falkland Islands,(1) 25%,Latin America & Caribbean,Non-member,Non-member
FRO,FRO,Faroe Islands,(2) 25%,Europe,NATO Member,Non-member
FIJI,FJI,Fiji,(3) 25%,Asia Pacific,Non-member,Non-member
FIN,FIN,Finland,(2) 25%,Europe,Non-member,EU Member
FRA,FRA,France,(2) 25%,Europe,NATO Member,EU Member
FGUI,GUF,French Guiana,(1) 25%,Latin America & Caribbean,Non-member,Non-member
FPOL,PYF,French Polynesia,(3) 25%,Asia Pacific,Non-member,Non-member
ATF,ATF,French Southern Territories,Unclassified,Unclassified,Non-member,Non-member
GA,GAB,Gabon,(1) 25%,Africa,Non-member,Non-member
GAM,GMB,Gambia,(1) 25%,Africa,Non-member,Non-member
GEO,GEO,Georgia,(2) 25%,North Asia,Non-member,Non-member
GER,DEU,Germany,(2) 25%,Europe,NATO Member,EU Member
GHA,GHA,Ghana,(1) 25%,Africa,Non-member,Non-member
GIB,GIB,Gibraltar,(2) 25%,Europe,Non-member,Non-member
GRE,GRC,Greece,(2) 25%,Europe,NATO Member,EU Member
GREE,GRL,Greenland,(1) 25%,Europe,NATO Member,Non-member
GREN,GRD,Grenada,Unclassified,Unclassified,Non-member,Non-member
GUAD,GLP,Guadeloupe,(1) 25%,Latin America & Caribbean,Non-member,Non-member
GUAM,GUM,Guam,(3) 25%,Asia Pacific,Non-member,Non-member
GUA,GTM,Guatemala,(1) 25%,Latin America & Caribbean,Non-member,Non-member
GGY,GGY,Guernsey,Unclassified,Unclassified,Non-member,Non-member
GUI,GIN,Guinea,(1) 25%,Africa,Non-member,Non-member
GUIB,GNB,Guinea-Bissau,(1) 25%,Africa,Non-member,Non-member
GUY,GUY,Guyana,(1) 25%,Latin America & Caribbean,Non-member,Non-member
HAI,HTI,Haiti,(1) 25%,Latin America & Caribbean,Non-member,Non-member
HMD,HMD,Heard Island And Mc Donald Islands,Unclassified,Unclassified,Non-member,Non-member
HOND,HND,Honduras,(1) 25%,Latin America & Caribbean,Non-member,Non-member
HK,HKG,Hong Kong,(3) 25%,Asia Pacific,Non-member,Non-member
HUN,HUN,Hungary,(2) 25%,Europe,NATO Member,EU Member
ICE,ISL,Iceland,(1) 25%,Europe,NATO Member,Non-member
IN,IND,India,(4) 25%,Middle East,Non-member,Non-member
IND,IDN,Indonesia,(3) 25%,Asia Pacific,Non-member,Non-member
NONE,N/A,International Airspace,Unclassified,Unclassified,Non-member,Non-member
IRAN,IRN,Iran,(2) 25%,Middle East,Non-member,Non-member
IRAQ,IRQ,Iraq,(2) 25%,Middle East,Non-member,Non-member
IRE,IRL,Ireland,(2) 25%,Europe,Non-member,EU Member
IMN,IMN,Isle Of Man,(2) 25%,Europe,Non-member,Non-member
ISR,ISR,Israel,(2) 25%,Middle East,Non-member,Non-member
ITA,ITA,Italy,(2) 25%,Europe,NATO Member,EU Member
JM,JAM,Jamaica,(1) 25%,Latin America & Caribbean,Non-member,Non-member
JAP,JPN,Japan,(2) 25%,North Asia,Non-member,Non-member
JEY,JEY,Jersey,Unclassified,Unclassified,Non-member,Non-member
JOR,JOR,Jordan,(2) 25%,Middle East,Non-member,Non-member
KAZ,KAZ,Kazakhstan,(2) 25%,North Asia,Non-member,Non-member
KEN,KEN,Kenya,(2) 25%,Africa,Non-member,Non-member
KIR,KIR,Kiribati,Unclassified,Unclassified,Non-member,Non-member
KUW,KWT,Kuwait,(2) 25%,Middle East,Non-member,Non-member
KRY,KGZ,Kyrgyzstan,(2) 25%,North Asia,Non-member,Non-member
LAOS,LAO,Laos,(3) 25%,Asia Pacific,Non-member,Non-member
LAT,LVA,Latvia,(2) 25%,Europe,NATO Member,EU Member
LEB,LBN,Lebanon,(2) 25%,Middle East,Non-member,Non-member
LES,LSO,Lesotho,(1) 25%,Africa,Non-member,Non-member
LIBE,LBR,Liberia,(1) 25%,Africa,Non-member,Non-member
LIB,LBY,Libya,(1) 25%,Africa,Non-member,Non-member
LIC,LIE,Liechtenstein,(2) 25%,Europe,Non-member,Non-member
LIT,LTU,Lithuania,(2) 25%,Europe,NATO Member,EU Member
LUX,LUX,Luxembourg,(2) 25%,Europe,NATO Member,EU Member
MAC,MAC,Macau,(2) 25%,China,Non-member,Non-member
MCD,MKD,Macedonia,(2) 25%,Europe,Non-member,Non-member
MAD,MDG,Madagascar,(2) 25%,Africa,Non-member,Non-member
MLWI,MWI,Malawi,(2) 25%,Africa,Non-member,Non-member
MAL,MYS,Malaysia,(3) 25%,Asia Pacific,Non-member,Non-member
MALD,MDV,Maldives,(3) 25%,Asia Pacific,Non-member,Non-member
MALI,MLI,Mali,(1) 25%,Africa,Non-member,Non-member
MALT,MLT,Malta,(2) 25%,Middle East,Non-member,EU Member
MHL,MHL,Marshall Islands,(3) 25%,Asia Pacific,Non-member,Non-member
MART,MTQ,Martinique,(1) 25%,Latin America & Caribbean,Non-member,Non-member
MAUR,MRT,Mauritania,(1) 25%,Africa,Non-member,Non-member
MRTS,MUS,Mauritius,(2) 25%,Africa,Non-member,Non-member
MYT,MYT,Mayotte,Unclassified,Unclassified,Non-member,Non-member
MEX,MEX,Mexico,(1) 25%,Latin America & Caribbean,Non-member,Non-member
FSM,FSM,"Micronesia, Federated States Of",(3) 25%,Asia Pacific,Non-member,Non-member
MOL,MDA,Moldova,(2) 25%,Europe,Non-member,Non-member
MON,MCO,Monaco,(2) 25%,Europe,Non-member,Non-member
MO,MNG,Mongolia,(2) 25%,North Asia,Non-member,Non-member
MNE,MNE,Montenegro,(2) 25%,Europe,NATO Member,Non-member
MSR,MSR,Montserrat,Unclassified,Unclassified,Non-member,Non-member
MOR,MAR,Morocco,(1) 25%,Africa,Non-member,Non-member
MOC,MOZ,Mozambique,(2) 25%,Africa,Non-member,Non-member
BURM,MMR,Myanmar,(4) 25%,Asia Pacific,Non-member,Non-member
NAM,NAM,Namibia,(1) 25%,Africa,Non-member,Non-member
NAU,NRU,Nauru,(3) 25%,Asia Pacific,Non-member,Non-member
NEP,NPL,Nepal,(4) 25%,Middle East,Non-member,Non-member
NET,NLD,Netherlands,(2) 25%,Europe,Non-member,Non-member
NETA,NDL,Netherlands Antilles,(2) 25%,Europe,NATO Member,EU Member
NEWC,NCL,New Caledonia,(3) 25%,Asia Pacific,Non-member,Non-member
NZ,NZL,New Zealand,(3) 25%,Asia Pacific,Non-member,Non-member
NIC,NIC,Nicaragua,(1) 25%,Latin America & Caribbean,Non-member,Non-member
NIGE,NER,Niger,(1) 25%,Africa,Non-member,Non-member
NIG,NGA,Nigeria,(1) 25%,Africa,Non-member,Non-member
NIU,NIU,Niue,Unclassified,Unclassified,Non-member,Non-member
NFK,NFK,Norfolk Island,Unclassified,Unclassified,Non-member,Non-member
NKOR,PRK,North Korea,(3) 25%,North Asia,Non-member,Non-member
MNP,MNP,Northern Mariana Islands,(3) 25%,Asia Pacific,Non-member,Non-member
NOR,NOR,Norway,(2) 25%,Europe,NATO Member,Non-member
OMAN,OMN,Oman,(2) 25%,Middle East,Non-member,Non-member
PAK,PAK,Pakistan,(4) 25%,Middle East,Non-member,Non-member
PLW,PLW,Palau,(3) 25%,Asia Pacific,Non-member,Non-member
PSE,PSE,"Palestinian Territory, Occupied",Unclassified,Unclassified,Non-member,Non-member
PAN,PAN,Panama,(1) 25%,Latin America & Caribbean,Non-member,Non-member
PNGU,PNG,Papua New Guinea,(3) 25%,Asia Pacific,Non-member,Non-member
PAR,PRY,Paraguay,(1) 25%,Latin America & Caribbean,Non-member,Non-member
PER,PER,Peru,(1) 25%,Latin America & Caribbean,Non-member,Non-member
PHIL,PHL,Philippines,(2) 25%,Asia Pacific,Non-member,Non-member
PCN,PCN,Pitcairn,Unclassified,Unclassified,Non-member,Non-member
POL,POL,Poland,(2) 25%,Europe,NATO Member,EU Member
PORT,PRT,Portugal,(2) 25%,Europe,NATO Member,EU Member
PRIC,PRI,Puerto Rico,(1) 25%,Latin America & Caribbean,Non-member,Non-member
QAT,QAT,Qatar,(2) 25%,Middle East,Non-member,Non-member
REU,REU,Reunion,(2) 25%,Africa,Non-member,Non-member
ROM,ROU,Romania,(2) 25%,Europe,NATO Member,EU Member
RUS,RUS,Russia,(2) 25%,North Asia,Non-member,Non-member
RWA,RWA,Rwanda,(1) 25%,Africa,Non-member,Non-member
SHN,SHN,Saint Helena,Unclassified,Unclassified,Non-member,Non-member
SPM,SPM,Saint Pierre And Miquelon,Unclassified,Unclassified,Non-member,Non-member
SMAR,SMR,San Marino,(2) 25%,Europe,Non-member,Non-member
SAOT,STP,Sao Tome,(1) 25%,Africa,Non-member,Non-member
SARA,SAU,Saudi Arabia,(2) 25%,Middle East,Non-member,Non-member
SEN,SEN,Senegal,(1) 25%,Africa,Non-member,Non-member
SRB,SRB,Serbia,(2) 25%,Europe,Non-member,Non-member
SEY,SYC,Seychelles,(2) 25%,Africa,Non-member,Non-member
SLEO,SLE,Sierra Leone,(1) 25%,Africa,Non-member,Non-member
SING,SGP,Singapore,(3) 25%,Asia Pacific,Non-member,Non-member
SK,SVK,Slovakia,(2) 25%,Europe,NATO Member,EU Member
SLO,SVN,Slovenia,(2) 25%,Europe,NATO Member,EU Member
SOL,SLB,Solomon Islands,(3) 25%,Asia Pacific,Non-member,Non-member
SOM,SOM,Somalia,(2) 25%,Africa,Non-member,Non-member
SOL,SOL,Somaliland,(2) 25%,Africa,Non-member,Non-member
AFR,ZAF,South Africa,(1) 25%,Africa,Non-member,Non-member
SGS,SGS,South Georgia And The South Sandwich Islands,Unclassified,Unclassified,Non-member,Non-member
SKOR,KOR,South Korea,(2) 25%,North Asia,Non-member,Non-member
,SSD,South Sudan,(2) 25%,Africa,Non-member,Non-member
SPA,ESP,Spain,(2) 25%,Europe,NATO Member,EU Member
SL,LKA,Sri Lanka,(4) 25%,Asia Pacific,Non-member,Non-member
ST,KNA,St. Kitts,(1) 25%,Latin America & Caribbean,Non-member,Non-member
SLUC,LCA,St. Lucia,(1) 25%,Latin America & Caribbean,Non-member,Non-member
SV,VCT,St. Vincent,Unclassified,Unclassified,Non-member,Non-member
SUD,SDN,Sudan,(1) 25%,Africa,Non-member,Non-member
SUR,SUR,Suriname,(1) 25%,Latin America & Caribbean,Non-member,Non-member
SJM,SJM,Svalbard And Jan Mayen Islands,(2) 25%,Europe,Non-member,Non-member
SWA,SWZ,Swaziland,(2) 25%,Africa,Non-member,Non-member
SWE,SWE,Sweden,(2) 25%,Europe,Non-member,EU Member
SWIT,CHE,Switzerland,(2) 25%,Europe,Non-member,Non-member
SYR,SYR,Syria,(2) 25%,Middle East,Non-member,Non-member
TAI,TWN,Taiwan,(2) 25%,Asia Pacific,Non-member,Non-member
TAJ,TJK,Tajikistan,(2) 25%,North Asia,Non-member,Non-member
TAN,TZA,Tanzania,(2) 25%,Africa,Non-member,Non-member
THAI,THA,Thailand,(4) 25%,Asia Pacific,Non-member,Non-member
TOGO,TGO,Togo,(1) 25%,Africa,Non-member,Non-member
TKL,TKL,Tokelau,Unclassified,Unclassified,Non-member,Non-member
TONG,TON,Tonga,Unclassified,Unclassified,Non-member,Non-member
TRIT,TTO,Trinidad & Tobago,(1) 25%,Latin America & Caribbean,Non-member,Non-member
TUN,TUN,Tunisia,(1) 25%,Africa,Non-member,Non-member
TURK,TUR,Turkey,(2) 25%,Middle East,NATO Member,Non-member
TUR,TKM,Turkmenistan,(2) 25%,North Asia,Non-member,Non-member
TCA,TCA,Turks And Caicos Islands,(1) 25%,Latin America & Caribbean,Non-member,Non-member
TUV,TUV,Tuvalu,Unclassified,Unclassified,Non-member,Non-member
UG,UGA,Uganda,(2) 25%,Africa,Non-member,Non-member
UKR,UKR,Ukraine,(2) 25%,Europe,Non-member,Non-member
UAE,ARE,United Arab Emirates,(2) 25%,Middle East,Non-member,Non-member
UK,GBR,United Kingdom,(2) 25%,Europe,NATO Member,EU Member
UMI,UMI,United States Minor Outlying Islands,Unclassified,Unclassified,NATO Member,Non-member
USA,USA,United States of America,(1) 25%,United States,NATO Member,Non-member
URU,URY,Uruguay,(1) 25%,Latin America & Caribbean,Non-member,Non-member
USVI,VIR,US Virgin Islands,(1) 25%,Latin America & Caribbean,Non-member,Non-member
UZB,UZB,Uzbekistan,(2) 25%,North Asia,Non-member,Non-member
VAN,VUT,Vanuatu,(3) 25%,Asia Pacific,Non-member,Non-member
VAT,VAT,Vatican City State (Holy See),(2) 25%,Unclassified,Non-member,Non-member
VEN,VEN,Venezuela,(1) 25%,Latin America & Caribbean,Non-member,Non-member
VNAM,VNM,Vietnam,(3) 25%,Asia Pacific,Non-member,Non-member
WLF,WLF,Wallis And Futuna Islands,Unclassified,Unclassified,Non-member,Non-member
WSAM,WSM,Western Samoa,(3) 25%,Asia Pacific,Non-member,Non-member
YEM,YEM,Yemen,(2) 25%,Middle East,Non-member,Non-member
ZAM,ZMB,Zambia,(1) 25%,Africa,Non-member,Non-member
ZIM,ZWE,Zimbabwe,(2) 25%,Africa,Non-member,Non-member