Name_Orig,Lat_Orig,Lng_Orig,Name_Des,Lat_Des,Lng_Des
"Torrance, CA",33.84,-118.34,"Paso Robles, CA",35.64,-120.66
"Torrance, CA",33.84,-118.34,"Mobile, AL",30.7,-88.04
"Torrance, CA",33.84,-118.34,"Anaheim, CA",33.84,-117.92
"Torrance, CA",33.84,-118.34,"Sacramento, CA",38.58,-121.49
"Sacramento, CA",38.58,-121.49,"Reno, NV",39.53,-119.81
"Torrance, CA",33.84,-118.34,"Avalon, CA",33.34,-118.33
"Torrance, CA",33.84,-118.34,"Coronado, CA",32.69,-117.18
"Torrance, CA",33.84,-118.34,Sequoia National Park,36.49,-118.57
Sequoia National Park,36.49,-118.57,Yosemite National Park,37.87,-119.54
Yosemite National Park,37.87,-119.54,"Reno, NV",39.53,-119.81
"Torrance, CA",33.836,-118.341,"Thousand Oaks, CA",34.171,-118.838
"Torrance, CA",33.836,-118.341,Zion National Park,37.298,-113.026
Zion National Park,37.298,-113.026,"Denver, CO",39.739,-104.99
"Denver, CO",39.739,-104.99,"Manhattan, KS",39.184,-96.572
"Manhattan, KS",39.184,-96.572,"St. Louis, MO",38.627,-90.199
"St. Louis, MO",38.627,-90.199,"Chicago, IL",41.878,-87.63
"Chicago, IL",41.878,-87.63,"South Bend, IN",41.676,-86.252
"South Bend, IN",41.676,-86.252,"Columbus, OH",39.961,-82.999
"Columbus, OH",39.961,-82.999,"Boston, MA",42.36,-71.059
"Boston, MA",42.36,-71.059,"Wellfleet, MA",41.931,-70.031
"Columbus, OH",39.961,-82.999,"South Bend, IN",41.676,-86.252
"Columbus, OH",39.961,-82.999,"Dublin, Ireland",53.35,-6.26
"Columbus, OH",39.961,-82.999,"Fort Worth, TX",32.755,-97.331
"Columbus, OH",39.961,-82.999,"Wooster, OH",40.805,-81.935
"Columbus, OH",39.961,-82.999,"Gambier, OH",40.376,-82.397
"Columbus, OH",39.961,-82.999,"Norwalk, CT",41.118,-73.408